log10(p=p_0/q**k);T_3(p)
140.0;0.0011026090000996192
137.85387196432174;0.00107786299986401
135.7077439286435;0.0009699540000838169
133.56161589296528;0.0009261629998036369
131.41548785728705;0.0008890869999049755
129.2693598216088;0.0008921089997784293
127.12323178593057;0.0008339109999724315
124.97710375025231;0.0008073720000538742
122.8309757145741;0.0007734040000286768
120.68484767889584;0.0007463340002686891
118.53871964321762;0.0007472040001630376
116.39259160753936;0.0006811889998061815
114.24646357186114;0.0006751840001015808
112.10033553618288;0.0006348070000967709
109.95420750050467;0.0006178949997774907
107.80807946482642;0.0005679979999513307
105.66195142914819;0.0005580239999289915
103.51582339346994;0.000530977000380517
101.36969535779171;0.0005226449998190219
99.22356732211347;0.00046516500015059137
97.07743928643524;0.00046528700022463454
