log10(p=p_0/q**k);log10(T_1(p))
5.477121254719662;0.26062647164147856
5.346787051929957;0.0016831478657997427
5.21645357658392;-0.25582786302129834
5.086117697411917;-0.5155540814399675
4.955783928916911;-0.7729040865168054
4.8254520837767325;-1.0262431292540999
4.695113771342236;-1.2763646050059598
4.564784384503986;-1.5231678789542444
4.434441151575003;-1.7674243428125798
4.304102591631656;-2.0043725262593126
4.17376882313665;-2.23719161740943
4.043440876244474;-2.4676488996845145
3.9130717403092503;-2.6886617775454598
3.7827591926239963;-2.9179237184686078
3.6524397475894204;-3.144431178942977
3.5220528008688223;-3.373227606449204
3.3916407034923877;-3.569127104989424
3.2612628687924934;-3.7567709032188747
3.1309766916056168;-3.9394796907009866
3.0004340774793183;-4.11293998918032
2.870403905279027;-4.283354042424712
